Key,KeyConfidence,Value,ValueConfidence
West Africa,45.67441177368164,"Burkina Faso, Ghana, Mali, Niger, Senegal",45.67441177368164
East Africa,38.09089660644531,"Ethiopia, Kenya, Tanzania, Uganda",38.09089660644531
Punjab & Haryana,34.5426025390625,,
